Year,PWA_O3,Dataset,Pollutant
1990,49.1,GBD,O3
1995,49.4,GBD,O3
2000,49.8,GBD,O3
2005,48.6,GBD,O3
2010,46.4,GBD,O3
2011,47.4,GBD,O3
2012,46.7,GBD,O3
2013,45.9,GBD,O3
2014,44.7,GBD,O3
2015,44.5,GBD,O3
2016,44.3,GBD,O3
2017,44.2,GBD,O3
2018,43.7,GBD,O3
2019,43.4,GBD,O3
