Year,PWA_O3,Dataset,Pollutant
2009,51.6984420713962,NACR,O3
2010,54.1404835537138,NACR,O3
2011,54.0249377521129,NACR,O3
2012,54.0418656488928,NACR,O3
2013,49.9083815798267,NACR,O3
2014,49.4614891170202,NACR,O3
2015,49.5407547321746,NACR,O3
2016,48.9610596429288,NACR,O3
2018,47.6036400570421,NACR,O3
2019,47.5860011564021,NACR,O3
2020,47.4049225203894,NACR,O3
