"Year","PWA_O3","Dataset","Pollutant"
2007,30.9213368817676,"FAQSD","O3"
2008,29.9036133074237,"FAQSD","O3"
2009,28.6627735123348,"FAQSD","O3"
2010,29.5065373879224,"FAQSD","O3"
2011,30.0361868288493,"FAQSD","O3"
2012,30.8681231637316,"FAQSD","O3"
2013,28.4947905907566,"FAQSD","O3"
2014,28.5746006204692,"FAQSD","O3"
2015,28.6871585959875,"FAQSD","O3"
2016,28.8426930694711,"FAQSD","O3"
2017,28.7785416887405,"FAQSD","O3"
